group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",1,product-flow,"Flat glass, uncoated, at plant",e33d282a-b69e-320e-825a-ddb5e7264ad5,bafu-2026,,kilogram,flat;glass;uncoated;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",2,product-flow,"Natural gas, burned in industrial furnace 1MW",045e458d-5776-3c92-82ff-274665aaa4fc,bafu-2026,,megajoule,natural;gas;burned;industrial;furnace;1mw,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",3,product-flow,"Transport, freight, lorry, fleet average",99f8a4b0-99b5-3130-924c-5de4c10b62ef,bafu-2026,,ton kilometer,transport;freight;lorry;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",4,product-flow,"Furnace, wood chips, mixed, 1000kW",4f86426a-e9a6-38c8-8eb1-b2d759e37b1b,bafu-2026,,unit,furnace;wood;chips;mixed;1000kw,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",5,product-flow,"Formaldehyde, production mix, at plant",cc69be77-6d77-3b80-b750-d870a31630e1,bafu-2026,,kilogram,formaldehyde;production;mix;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",6,product-flow,"Disposal, slag, unalloyed electr. steel, 0% water, to residual material landfill",894adf51-a434-49a7-9bfb-a777a03b45c0,bafu-2026,,kilogram,disposal;slag;unalloyed;electr;steel;water;residual;material;landfill,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",7,product-flow,"Glass wool mat, at plant",3ae98d80-01bb-3de0-9021-a303378d8a99,bafu-2026,,kilogram,glass;wool;mat;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",8,product-flow,"Disposal, glider, for passenger car",d0a5ab89-9134-36c5-a56a-bf1f83c204ae,bafu-2026,,kilogram,disposal;glider;for;passenger;car,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",9,product-flow,"Light fuel oil, burned in boiler 100kW, non-modulating",09da51a8-f8ca-3270-bfa4-7749767952a7,bafu-2026,,megajoule,light;fuel;oil;burned;boiler;100kw;non;modulating,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",10,product-flow,"Electricity, hydropower, at pumped storage power plant",72448e03-6c7d-3f25-baf7-fb94b30062a2,bafu-2026,,kilowatt hour,electricity;hydropower;pumped;storage;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",11,product-flow,"Natural gas, low pressure, at consumer",fa34a380-42a9-3e90-9a00-7b53a6adc62c,bafu-2026,,megajoule,natural;gas;low;pressure;consumer,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",12,product-flow,"Ethylvinylacetate, foil, at plant",1ef6ea99-4478-3315-b947-9ba1e37bd1e8,bafu-2026,,kilogram,ethylvinylacetate;foil;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4bf4e6d8-2c49-3042-956a-5778edad98c8,"Tempering, flat glass",13,product-flow,"Electricity, lignite, at power plant",648a9a0c-e893-3a71-a4e7-f38042cc1597,bafu-2026,,kilowatt hour,electricity;lignite;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
