group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",1,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9138-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,3.672,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",2,product-flow,"Flat roof construction, on roof",2f54c187-23e8-3dee-8f78-031c99e568ea,bafu-2026,,square meter,flat;roof;construction;roof,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",3,product-flow,"Transport, freight, lorry, 7.5t-16t gross weight, fleet average",a4f7817d-ef76-3fb0-943c-12c43ed07da7,bafu-2026,,ton kilometer,transport;freight;lorry;16t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",4,product-flow,"Photovoltaic panel, multi-Si, at regional storage",8d52e5d5-2e3b-4fb7-8815-33680a7f2665,bafu-2026,,square meter,photovoltaic;panel;multi;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",5,product-flow,"Electricity, low voltage, at grid",2489d4d7-3129-3a5c-8f9e-79469e2521d6,bafu-2026,,kilowatt hour,electricity;low;voltage;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",6,product-flow,"Treatment, c-Si PV module",a8e50690-8e9b-4ea4-9092-a59cbd06972c,bafu-2026,,kilogram,treatment;module,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",7,product-flow,"Inverter, 2.5 kW, average, at plant",7da39c9b-d38f-32f1-b0fa-676bd25fdaa7,bafu-2026,,unit,inverter;average;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",8,product-flow,"Electric installation, photovoltaic plant, at plant",6e910062-f919-3dbe-b24f-96eee8f43df8,bafu-2026,,unit,electric;installation;photovoltaic;plant;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",9,product-flow,"Metal working machine, unspecified, at plant",07afbe46-7fce-34f9-ba0d-e293fe08cb0d,bafu-2026,,kilogram,metal;working;machine;unspecified;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",10,product-flow,"Paper, woodfree, coated, at integrated mill",a50b0327-4733-30fa-9ec1-4f3c3afd7b81,bafu-2026,,kilogram,paper;woodfree;coated;integrated;mill,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",11,product-flow,"Disposal, paper, 11.2% water, to municipal incineration",46eeff89-f26d-44ad-91ac-9974927741c0,bafu-2026,,kilogram,disposal;paper;water;municipal;incineration,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",12,product-flow,"Transport, freight, lorry, 16t-32t gross weight, fleet average",eb5552ed-63a8-374d-8fa4-296f644c37f8,bafu-2026,,ton kilometer,transport;freight;lorry;16t;32t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",13,product-flow,"Fuel tank, for diesel vehicle",02d34621-e606-3ecc-83a0-d527b2bb4288,bafu-2026,,kilogram,fuel;tank;for;diesel;vehicle,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",14,product-flow,Sanitary landfill facility,3b5a45d2-6fef-32bc-bb7d-37ddb271581d,bafu-2026,,unit,sanitary;landfill;facility,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",15,product-flow,"Crude oil, at production",4363e9b3-9d13-3649-8b7b-c57cb3d8b149,bafu-2026,,kilogram,crude;oil;production,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",16,product-flow,"Disposal, wood ash mixture, pure, 0% water, to landfarming",370fd3e8-203b-40f7-9ff6-28a770d1cbc3,bafu-2026,,kilogram,disposal;wood;ash;mixture;pure;water;landfarming,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
