group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",1,elementary-flow,Water,5cfda72a-b91b-4f7c-a8d4-1f8265d8cd4c,ef-3.1-biosphere,air,cubic meter,water,1.8560000000000002e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",2,elementary-flow,Hydrogen,08a91e70-3ddc-11dd-949c-0050c2490048,ef-3.1-biosphere,air,kilogram,hydrogen,1.155e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",3,product-flow,"SOFC fuel cell 125kWe, future",e00fdfe1-df9f-34c2-b6a1-4b27259faade,bafu-2026,,unit,sofc;fuel;cell;125kwe;future,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",4,product-flow,"Maintenance SOFC fuel cell 125kWe, future",43bc11fa-35a2-3734-8f1a-87975c8a0780,bafu-2026,,unit,maintenance;sofc;fuel;cell;125kwe;future,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",5,product-flow,"Tap water, at user",1a2f0384-d903-4f9d-8757-1e78d84366ab,bafu-2026,,kilogram,tap;water;user,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",6,product-flow,"Hydrogen supply, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",7dfebeb7-afde-39f3-b851-5780883f026c,bafu-2026,,kilogram,hydrogen;supply;distributed;pipeline;produced;electrolysis;pem;using;electricity;from;solar;wind,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",7,product-flow,"Synthetic rubber, at plant",c66b37b5-67d2-32cf-a5ba-5abcb693cc6f,bafu-2026,,kilogram,synthetic;rubber;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",8,product-flow,"Kerosene, at regional storage",89f57412-3a81-3b81-a284-43cf740c5d7f,bafu-2026,,kilogram,kerosene;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",9,product-flow,"Wood chips, softwood, wet, measured as dry mass, at sawmill",422925ce-e7aa-380d-a4ce-23750e19f3de,bafu-2026,,kilogram,wood;chips;softwood;wet;measured;dry;mass;sawmill,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,405ca232-c566-37a2-98a7-913d686ea0e3,"Heat, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from Solar PV + Wind (MA)",10,product-flow,"Operation, maintenance, road",876f8f6b-9548-3edc-84b6-a4b0b05e90c6,bafu-2026,,meter-year,operation;maintenance;road,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
