doi,url,n_datasets,categories,example_datasets
10.5281/zenodo.5156043,https://doi.org/10.5281/zenodo.5156043,1968,chemicals; fuels; transport systems,"Adsorption and desorption unit, carbon dioxide capture process | Ancillary BoP | Anode"
10.1021/acs.est.8b05317,https://doi.org/10.1021/acs.est.8b05317,124,fuels; transport systems,"Anode paste, NCA | Battery BoP | Battery cell, LFP"
10.1016/j.jclepro.2020.123277,https://doi.org/10.1016/j.jclepro.2020.123277,57,chemicals; transport systems,"Carbon fiber production, exhaust gas treatment 1 | Carbon fiber production, exhaust gas treatment 2 | Carbon fiber production, fiber coagulation, stretching, washing, sizing and drying"
10.3390/su12135396,https://doi.org/10.3390/su12135396,30,transport systems,"Assembly operation, for lorry | Cabin, for lorry | Exhaust system, for lorry"
10.1007/s11367-015-0986-4,https://doi.org/10.1007/s11367-015-0986-4,24,transport systems,Ancillary BoP | Bipolar plate | Catalyst layer
10.1016/j.apenergy.2015.02.049,https://doi.org/10.1016/j.apenergy.2015.02.049,24,fuels,"Buffer tank | Container, with pipes and fittings, for diaphragm compressor | Diaphragm compressor module, high pressure"
10.3390/su10041148,https://doi.org/10.3390/su10041148,16,transport systems,Cables | Catenary masts | Catenary system
10.1021/acs.est.8b05313,https://doi.org/10.1021/acs.est.8b05313,16,transport systems,"Anode | Anode current collector, LTO | Anode paste, LTO"
10.1039/c9se00658c,https://doi.org/10.1039/c9se00658c,11,fuels,"Methanol distillation, hydrogen from autonomous hybrid plant, CO2 from DAC | Methanol distillation, hydrogen from electrolysis, CO2 from DAC | Methanol distillation, hydrogen from electrolysis, CO2 from MSWI (100:0 alloc.)"
10.1039/d0se00222d,https://doi.org/10.1039/d0se00222d,10,fuels,"Hydrogen, gaseous, 700 bar, from SMR of NG, at fuelling station | Hydrogen, gaseous, 700 bar, from electrolysis, at fuelling station | Hydrogen, gaseous, 700 bar, from electrolysis, from label-certified electricity, at fuelling station"
10.1016/j.apenergy.2022.120097,https://doi.org/10.1016/j.apenergy.2022.120097,9,Others; pipeline,Compressor assembly for transmission hydrogen pipeline | Hydrogen distribution pipeline construction | Hydrogen distribution pipeline installation
10.1039/c9se00986h,https://doi.org/10.1039/c9se00986h,7,fuels,"Methane, from electrochemical methanation, with carbon from atmospheric CO2 capture | Methane, from electrochemical methanation, with carbon from atmospheric CO2 capture, hydrogen from autonomous hybrid plant | Methane, from electrochemical methanation, with carbon from cement plant (100:0 alloc.)"
10.5281/zenodo.15880601,https://doi.org/10.5281/zenodo.15880601,7,wind power,"Array cable, 66kV, offshore wind farm | Export cable, 220kV, offshore wind farm | Substation, land-based, 740MW offshore wind farm"
10.1038/s41467-022-31146-1,https://doi.org/10.1038/s41467-022-31146-1,6,Others; chemicals; fuels,"Amine-based silica production, for sorbent-based direct air capture system | Carbon dioxide, captured from atmosphere, with a sorbent-based direct air capture system, 100ktCO2 | Direct air capture system construction, solvent-based, 1MtCO2"
10.1016/s0306-2619(01,https://doi.org/10.1016/s0306-2619(01,5,transport systems,"Charger | Charging stand | EV charger, level 3, plugin, 200 kW"
10.1016/j.spc.2021.10.024,https://doi.org/10.1016/j.spc.2021.10.024,4,wind power,"Substation,offshore, 150MW offshore wind farm | Wind turbine 5MW, offshore, jacket substructure | Wind turbine 5MW, offshore, moving parts"
10.1016/j.apenergy.2016.12.098,https://doi.org/10.1016/j.apenergy.2016.12.098,4,fuels,"Hydrogen, gaseous, 25 bar, from electrolysis | Hydrogen, gaseous, 25 bar, from electrolysis, from label-certified electricity"
10.1016/j.jclepro.2016.11.159,https://doi.org/10.1016/j.jclepro.2016.11.159,4,transport systems,"Fuel tank, compressed hydrogen gas, 700bar, with HDPE liner | Fuel tank, compressed hydrogen gas, 700bar, with aluminium liner"
10.1016/j.ijhydene.2022.04.011,https://doi.org/10.1016/j.ijhydene.2022.04.011,3,fuels,"Fuel cell Balance of Plant production, 1 kWe, proton exchange membrane (PEM) | Fuel cell stack production, 1 kWe, proton exchange membrane (PEM) | Fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)"
10.1016/j.seta.2021.101364,https://doi.org/10.1016/j.seta.2021.101364,3,Others,Treatment of heat pump 10 kW production for air source heat pump system | Treatment of heat pump 10 kW production for ground source heat pump system | Treatment of heat pump 10 kW production for water source heat pump system
10.1016/j.energy.2012.01.028,https://doi.org/10.1016/j.energy.2012.01.028,3,"energy, obsolete",Heat pump 10 kW production for air source heat pump system | Heat pump 10 kW production for ground source heat pump system | Heat pump 10 kW production for water source heat pump system
10.1021/acs.est.8b05314,https://doi.org/10.1021/acs.est.8b05314,2,transport systems,"Anode current collector, LFP"
10.1016/j.ijggc.2013.03.003,https://doi.org/10.1016/j.ijggc.2013.03.003,2,chemicals,"Drilling, deep borehole"
10.1021/es500191g,https://doi.org/10.1021/es500191g,2,fuels,Gas-to-liquid plant construction
10.1021/acs.est.2c08633,https://doi.org/10.1021/acs.est.2c08633,2,chemicals,Olivine comminution | Quarrying of olivine
10.1021/acs.est.8b05315,https://doi.org/10.1021/acs.est.8b05315,2,transport systems,"Anode current collector, NCA"
10.1016/j.ijhydene.2021.01.034,https://doi.org/10.1016/j.ijhydene.2021.01.034,2,transport systems,"Fuel tank, compressed natural gas, 200 bar"
10.1021/acs.est.8b05316,https://doi.org/10.1021/acs.est.8b05316,2,transport systems,"Anode paste, LFP"
10.1016/j.resconrec.2021.106030,https://doi.org/10.1016/j.resconrec.2021.106030,2,chemicals; wood,"Biochar, from spruce wood pyrolysis | Spruce wood, chipping and drying"
10.1016/j.trd.2017.08.010,https://doi.org/10.1016/j.trd.2017.08.010,1,transport systems,Glider lightweighting
10.1007/s11367-011-0370-y,https://doi.org/10.1007/s11367-011-0370-y,1,metals,"Basic oxygen furnace gas, burned in power plant"
10.1038/s41560-020-00771-9,https://doi.org/10.1038/s41560-020-00771-9,1,chemicals,"Carbon dioxide, captured from atmosphere, with adsorbent-based direct air capture system, operated with HP, 100kt CO2"
